Id,OldName,NewName
39078,"1019837 ONTARIO INC O/A DYNAMIC PERSONNEL CONSULTANTS","1019837 ONTARIO INCDYNAMIC PERSONNEL CONSULTANTS"
48177,"100029763 Manitoba Ltd. o/a Hardy Electric","100029763 Manitoba Ltd.Hardy Electric"
68331,"10036730 MANITOBA LTD O/A O'CONNOR SERVICES","10036730 MANITOBA LTDO'CONNOR SERVICES"
923,"10059207 Manitoba INC O/A Safe Face Shields","10059207 Manitoba INCSafe Face Shields"
63815,"1023618 Ontario Inc o/a Barrett's Farm & Family Center","1023618 Ontario IncBarrett's Farm & Family Center"
42976,"1025458 BC LTD O/A NC FIRE & SAFETY","NC FIRE & SAFETY"
930,"10270252 Alberta Inc. o/a JMS Construction","10270252 Alberta Inc.JMS Construction"
39584,"10271292 CANADA INC O/A SYSTEMES ENERGIE TST","SYSTEMES ENERGIE TST"
931,"1032191 Ontario Limited o/a Spectra Advertising","1032191 Ontario LimitedSpectra Advertising"
47692,"10347802 CANADA LTD O/A DEXTERRA","10347802 CANADA LTDDEXTERRA"
933,"1036302 Alberta Ltd o/a Daya Transport Services","Daya Transport Services"
39216,"10569186 CANADA INC. O/A k7 Consulting/Conseil","10569186 CANADA INC.k7 Consulting/Conseil"
47234,"10647802 Canada Limited o/a Dexterra","10647802 Canada LimitedDexterra"
47811,"10647802 CANADA LIMITED O/A DEXTERRA INTEGRATED FACILITIES MANAGEMENT","10647802 CANADA LIMITEDDEXTERRA INTEGRATED FACILITIES MANAGEMENT"
47714,"10647802 CANADA LTD O/A DEXTERRA","10647802 CANADA LTDDEXTERRA"
943,"1082401 AB Inc. o/a Graham's Carpet Cleaning","1082401 AB Inc.Graham's Carpet Cleaning"
56210,"1101417 ONTARIO INC O/A CAREER JOY","1101417 ONTARIO INCCAREER JOY"
42380,"1104077 ONTARIO INC O/A LENCO TRAIN","1104077 ONTARIO INCLENCO TRAIN"
42417,"1104077 ONTARIO INC O/A LENCO TRAINING AND TECHNICAL SERVICES","1104077 ONTARIO INCLENCO TRAINING AND TECHNICAL SERVICES"
952,"1104175 Alberta Ltd O/A ESE-LSS Life Safety Systems","ESE-LSS Life Safety Systems"
