Id,OldName,NewName
39078,"1019837 ONTARIO INC O/A DYNAMIC PERSONNEL CONSULTANTS","DYNAMIC PERSONNEL CONSULTANTS"
48177,"100029763 Manitoba Ltd. o/a Hardy Electric","Hardy Electric"
68331,"10036730 MANITOBA LTD O/A O'CONNOR SERVICES","O'CONNOR SERVICES"
923,"10059207 Manitoba INC O/A Safe Face Shields","Safe Face Shields"
63815,"1023618 Ontario Inc o/a Barrett's Farm & Family Center","Barrett's Farm & Family Center"
42976,"1025458 BC LTD O/A NC FIRE & SAFETY","NC FIRE & SAFETY"
930,"10270252 Alberta Inc. o/a JMS Construction","JMS Construction"
39584,"10271292 CANADA INC O/A SYSTEMES ENERGIE TST","SYSTEMES ENERGIE TST"
931,"1032191 Ontario Limited o/a Spectra Advertising","Spectra Advertising"
47692,"10347802 CANADA LTD O/A DEXTERRA","DEXTERRA"
933,"1036302 Alberta Ltd o/a Daya Transport Services","Daya Transport Services"
39216,"10569186 CANADA INC. O/A k7 Consulting/Conseil","k7 Consulting/Conseil"
47234,"10647802 Canada Limited o/a Dexterra","Dexterra"
47811,"10647802 CANADA LIMITED O/A DEXTERRA INTEGRATED FACILITIES MANAGEMENT","DEXTERRA INTEGRATED FACILITIES MANAGEMENT"
47714,"10647802 CANADA LTD O/A DEXTERRA","DEXTERRA"
943,"1082401 AB Inc. o/a Graham's Carpet Cleaning","Graham's Carpet Cleaning"
56210,"1101417 ONTARIO INC O/A CAREER JOY","CAREER JOY"
42380,"1104077 ONTARIO INC O/A LENCO TRAIN","LENCO TRAIN"
42417,"1104077 ONTARIO INC O/A LENCO TRAINING AND TECHNICAL SERVICES","LENCO TRAINING AND TECHNICAL SERVICES"
952,"1104175 Alberta Ltd O/A ESE-LSS Life Safety Systems","ESE-LSS Life Safety Systems"
42291,"11339966 CANADA INC O/A TRUDEL EXCAVATING","TRUDEL EXCAVATING"
48077,"1138371 AB Ltd. o/a Topline Drywall","Topline Drywall"
48011,"1138371 AB Ltd. o/a Topline Drywall & Painting","Topline Drywall & Painting"
47135,"1138371 Alberta Ltd. o/a Topline Drywall","Topline Drywall"
47015,"1138371 Alberta Ltd. o/a Topline Drywall & Painting","Topline Drywall & Painting"
48468,"11425579 Canada Inc. o/a William Sons","William Sons"
977,"1186254 Alberta Ltd. O/A Silverlady Construction Ltd.","Silverlady Construction Ltd."
979,"1190428 Alberta Ltd o/a RTM Electric","RTM Electric"
981,"1190428 Alberta Ltd. o/a RMT Electric","RMT Electric"
65831,"12060477 CANADA INC O/A BRANCH","BRANCH"
39235,"12060477 CANADA INC. O/A Branch Audio Visual","Branch Audio Visual"
989,"1209432 Alberta Ltd. o/a Concrete Lifting","Concrete Lifting"
992,"1210926 Alberta Ltd. o/a Tayo Construction","Tayo Construction"
993,"1216808 Alberta Ltd. o/a Prairie Bailiff Services","Prairie Bailiff Services"
998,"1234625 Alberta Inc. O/A Colosso Vision Award","Colosso Vision Award"
1001,"1246746 AB Ltd o/a High Country Vac Services","High Country Vac Services"
